topic,date,distribution
Aeropuertos y vuelos,2018-12-03,0.028691135
Ley y crimen,2018-12-03,0.015210899
Vacunación,2018-12-03,0.015709843
La industria petrolera,2018-12-03,0.14539829
Economía,2018-12-03,0.27618992
Tren Maya,2018-12-03,0.032176454
Salud y medicina,2018-12-03,0.017540518
Reformas políticas,2018-12-03,0.1970064
Fronteras e inmigración,2018-12-03,0.010322289
Energía y minería,2018-12-03,0.026353922
Vacunación,2018-12-03,0.1389228
Problemas sociales y justicia penal,2018-12-03,0.044396613
Deportes y turismo,2018-12-03,0.03334327
Relaciones políticas entre México y Perú,2018-12-03,0.018737663
Aeropuertos y vuelos,2018-12-10,0.52571577
Ley y crimen,2018-12-10,0.041976534
La pandemia del COVID-19 y su impacto,2018-12-10,0.02396521
La industria petrolera,2018-12-10,0.09624585
Economía,2018-12-10,0.03049181
Tren Maya,2018-12-10,0.014789987
Salud y medicina,2018-12-10,0.009364725
Reformas políticas,2018-12-10,0.036886595
Fronteras e inmigración,2018-12-10,0.005133545
Energía y minería,2018-12-10,0.053384546
Vacunación,2018-12-10,0.10116242
Problemas sociales y justicia penal,2018-12-10,0.039851837
Deportes y turismo,2018-12-10,0.020649482
Relaciones políticas entre México y Perú,2018-12-10,0.0003816968
Aeropuertos y vuelos,2018-12-24,0.025931297
Ley y crimen,2018-12-24,0.011382086
La pandemia del COVID-19 y su impacto,2018-12-24,0.01763837
La industria petrolera,2018-12-24,0.5789707
Economía,2018-12-24,0.033274893
Tren Maya,2018-12-24,0.032946188
Salud y medicina,2018-12-24,0.0101125315
Reformas políticas,2018-12-24,0.07140364
Fronteras e inmigración,2018-12-24,0.008078056
Energía y minería,2018-12-24,0.011284477
Vacunación,2018-12-24,0.07605957
Problemas sociales y justicia penal,2018-12-24,0.06245969
Deportes y turismo,2018-12-24,0.031380054
Relaciones políticas entre México y Perú,2018-12-24,0.029078515
Aeropuertos y vuelos,2018-12-31,0.017002357
Ley y crimen,2018-12-31,0.021353696
La pandemia del COVID-19 y su impacto,2018-12-31,0.031590603
La industria petrolera,2018-12-31,0.18279754
Economía,2018-12-31,0.08995093
Tren Maya,2018-12-31,0.03874012
Salud y medicina,2018-12-31,0.015976034
Reformas políticas,2018-12-31,0.078147486
Fronteras e inmigración,2018-12-31,0.015552974
Energía y minería,2018-12-31,0.01637104
Vacunación,2018-12-31,0.11678094
Problemas sociales y justicia penal,2018-12-31,0.3297403
Deportes y turismo,2018-12-31,0.031035898
Relaciones políticas entre México y Perú,2018-12-31,0.01496013
Aeropuertos y vuelos,2019-01-07,0.030685605
Ley y crimen,2019-01-07,0.021269957
La pandemia del COVID-19 y su impacto,2019-01-07,0.020566145
La industria petrolera,2019-01-07,0.57479745
Economía,2019-01-07,0.060564842
Tren Maya,2019-01-07,0.027769608
Salud y medicina,2019-01-07,0.015156177
Reformas políticas,2019-01-07,0.061348356
Fronteras e inmigración,2019-01-07,0.01420601
Energía y minería,2019-01-07,0.02333561
Vacunación,2019-01-07,0.06318048
Problemas sociales y justicia penal,2019-01-07,0.04234992
Deportes y turismo,2019-01-07,0.023753924
Relaciones políticas entre México y Perú,2019-01-07,0.021015905
Aeropuertos y vuelos,2019-01-14,0.03795684
Ley y crimen,2019-01-14,0.012540826
La pandemia del COVID-19 y su impacto,2019-01-14,0.031839497
La industria petrolera,2019-01-14,0.58931196
Economía,2019-01-14,0.046833526
Tren Maya,2019-01-14,0.02451656
Salud y medicina,2019-01-14,0.018338235
Reformas políticas,2019-01-14,0.06858971
Fronteras e inmigración,2019-01-14,0.012473351
Energía y minería,2019-01-14,0.029753434
Vacunación,2019-01-14,0.045468196
Problemas sociales y justicia penal,2019-01-14,0.043791413
Deportes y turismo,2019-01-14,0.024312945
Relaciones políticas entre México y Perú,2019-01-14,0.0142735
Aeropuertos y vuelos,2019-01-21,0.028709013
Ley y crimen,2019-01-21,0.024777291
La pandemia del COVID-19 y su impacto,2019-01-21,0.052441113
La industria petrolera,2019-01-21,0.48473668
Economía,2019-01-21,0.04466954
Tren Maya,2019-01-21,0.033281494
Salud y medicina,2019-01-21,0.020177908
Reformas políticas,2019-01-21,0.059588194
Fronteras e inmigración,2019-01-21,0.022736376
Energía y minería,2019-01-21,0.03736492
Vacunación,2019-01-21,0.07062578
Problemas sociales y justicia penal,2019-01-21,0.076870106
Deportes y turismo,2019-01-21,0.028457858
Relaciones políticas entre México y Perú,2019-01-21,0.015563724
Aeropuertos y vuelos,2019-01-28,0.023068849
Ley y crimen,2019-01-28,0.021776482
La pandemia del COVID-19 y su impacto,2019-01-28,0.08401706
La industria petrolera,2019-01-28,0.3963707
Economía,2019-01-28,0.051192924
Tren Maya,2019-01-28,0.035715677
Salud y medicina,2019-01-28,0.014403675
Reformas políticas,2019-01-28,0.09809359
Fronteras e inmigración,2019-01-28,0.021070218
Energía y minería,2019-01-28,0.039075896
Vacunación,2019-01-28,0.0832697
Problemas sociales y justicia penal,2019-01-28,0.06595
Deportes y turismo,2019-01-28,0.039131474
Relaciones políticas entre México y Perú,2019-01-28,0.026863733
Aeropuertos y vuelos,2019-02-04,0.033444114
Ley y crimen,2019-02-04,0.013584017
La pandemia del COVID-19 y su impacto,2019-02-04,0.23298725
La industria petrolera,2019-02-04,0.10393089
Economía,2019-02-04,0.0891072
